	sample	chrom	start	end	chrom.arm	length	number.mut	weight.C>X	confidence	annotation	distanceToTSS	geneName	geneID
1	SP102755	chr3	84510947	84511465	3p	519	7	1	1	Distal Intergenic	407261	LINC00971	440970
1	SP102759	chr5	86960849	86961444	5q	596	8	1	1	Distal Intergenic	-251999	CCNH	902
1	SP102783	chr3	70742795	70744353	3p	1559	20	1	1	Distal Intergenic	346330	FOXP1	27086
1	SP102795	chr8	114711968	114713243	8q	1276	7	0.857	1	Distal Intergenic	-262726	CSMD3	114788
2	SP102795	chr10	9670842	9672753	10p	1912	6	1	3	Distal Intergenic	1164124	SFTA1P	207107
3	SP102795	chr10	25601481	25605043	10p	3563	10	1	3	"Intron (uc001isj.3/57512, intron 2 of 10)"	-136276	GPR158-AS1	100128811
4	SP102795	chr10	32190748	32196685	10p	5938	19	0.947	3	Promoter (1-2kb)	1169	ARHGAP12	94134
1	SP102804	chr9	29224032	29226607	9p	2576	8	0.5	0	Distal Intergenic	-11034	LINGO2	158038
1	SP102816	chr3	78322918	78323308	3p	391	8	1	1	Distal Intergenic	396382	ROBO1	6091
1	SP102881	chr9	130633690	130635520	9q	1831	6	1	1	Promoter (1-2kb)	-1916	MIR4672	100616429
1	SP102897	chr6	168590839	168590897	6q	59	7	0.571	0	Distal Intergenic	-110982	FRMD1	79981
1	SP102945	chr3	76631272	76632321	3p	1050	10	1	1	"Intron (uc021xat.1/6092, intron 1 of 25)"	-456973	ROBO2	6092
1	SP102989	chrX	147029527	147029751	23q	225	8	1	1	"Intron (uc004fcj.3/2332, intron 15 of 15)"	17880	FMR1	2332
1	SP103037	chr15	94459375	94459703	15q	329	6	1	1	"Intron (uc002btf.1/uc002btf.1, intron 2 of 3)"	-315098	MCTP2	55784
1	SP103057	chr18	4652607	4653250	18p	644	8	1	1	Distal Intergenic	-197341	DLGAP1	9229
1	SP103100	chr1	192094352	192094877	1q	526	6	1	1	Distal Intergenic	-32715	RGS18	64407
1	SP103128	chr5	100033165	100035520	5q	2356	17	1	1	Distal Intergenic	162041	FAM174A	345757
2	SP103128	chr9	125941185	125943397	9q	2213	17	1	1	5' UTR	-63429	MIR600HG	81571
1	SP103156	chr3	89355239	89356471	3p	1233	11	1	1	"Intron (uc003dqx.1/2042, intron 3 of 6)"	198565	EPHA3	2042
2	SP103156	chr13	73247941	73249001	13q	1061	12	0.917	1	Distal Intergenic	52937	MZT1	440145
1	SP103233	chr5	96446094	96447728	5q	1635	6	1	1	"Intron (uc003kmy.4/167410, intron 4 of 5)"	30792	LIX1	167410
1	SP103340	chr2	144138567	144139578	2q	1012	6	1	1	"Intron (uc010zbl.1/55843, intron 6 of 7)"	-53585	ARHGAP15	55843
1	SP103396	chr1	189115812	189117911	1q	2100	9	1	1	Distal Intergenic	1327031	BRINP3	339479
1	SP103416	chr3	55941787	55945483	3p	3697	12	1	1	"Intron (uc003dhq.1/26059, intron 6 of 6)"	39105	ERC2	26059
1	SP103455	chr3	83857223	83859946	3p	2724	11	1	1	Distal Intergenic	1058780	LINC00971	440970
1	SP103507	chr1	51899830	51900410	1p	581	8	0.75	0	"Intron (uc001csq.1/2060, intron 13 of 24)"	-12037	EPS15	2060
1	SP103595	chr3	76044655	76045749	3p	1095	8	1	1	"Intron (uc021xat.1/6092, intron 1 of 25)"	58010	ROBO2	6092
2	SP103595	chr5	109500472	109500973	5q	502	11	1	2	Distal Intergenic	264831	TMEM232	642987
3	SP103595	chr5	112084707	112086754	5q	2048	7	1	2	"Intron (uc011cvt.2/324, intron 1 of 13)"	11151	APC	324
1	SP103706	chr1	113015362	113016430	1p	1069	8	1	2	"Intron (uc001eca.3/7482, intron 1 of 5)"	5322	WNT2B	7482
2	SP103706	chr1	211733412	211735003	1q	1592	16	1	2	Distal Intergenic	17096	SLC30A1	7779
3	SP103706	chr4	23638772	23639252	4p	481	8	1	2	Distal Intergenic	244482	PPARGC1A	10891
4	SP103706	chr4	24173748	24174036	4p	289	6	1	2	"Intron (uc031sdx.1/10891, intron 13 of 14)"	-282048	PPARGC1A	10891
5	SP103706	chr7	75688136	75689019	7q	884	6	1	1	"Intron (uc003ueo.3/4191, intron 4 of 8)"	10743	MDH2	4191
