	sample	chrom	start	end	chrom.arm	length	number.mut	weight.C>X	confidence	annotation	distanceToTSS	geneName	geneID
1	SP101515	chr1	162397578	162400702	1q	3125	15	0.933	1	Distal Intergenic	-15650	SH2D1B	117157
1	SP101519	chr2	24917824	24920583	2p	2760	9	1	1	"Exon (uc002rfi.3/8648, exon 9 of 22)"	-44070	NCOA1	8648
2	SP101519	chr3	162488623	162489899	3q	1277	8	1	2	"Intron (uc003feg.3/uc003feg.3, intron 2 of 7)"	531190	LINC01192	647107
3	SP101519	chr3	162490950	162493554	3q	2605	18	1	2	"Intron (uc003feg.3/uc003feg.3, intron 2 of 7)"	527535	LINC01192	647107
1	SP101521	chr10	79537698	79540853	10q	3156	25	1	1	"Exon (uc021pup.1/uc021pup.1, exon 1 of 1)"	38953	DLG5	9231
1	SP101523	chr12	121328003	121332444	12q	4442	13	1	1	"Intron (uc001tzd.3/121665, intron 10 of 10)"	9711	SPPL3	121665
1	SP101526	chr1	37876563	37876977	1p	415	7	1	3	Distal Intergenic	63067	LINC01137	728431
2	SP101526	chr1	43862028	43863678	1p	1651	10	1	3	"Intron (uc001cjh.3/23334, intron 1 of 4)"	6472	SZT2	23334
3	SP101526	chr1	230780814	230782332	1q	1519	8	1	3	Promoter (2-3kb)	2612	COG2	22796
4	SP101526	chr10	55561617	55561963	10q	347	7	1	1	Downstream (<1kb)	862087	PCDH15	65217
5	SP101526	chr11	121585407	121587691	11q	2285	13	1	1	Distal Intergenic	124279	SORL1	6653
6	SP101526	chr12	20328616	20328850	12p	235	7	1	1	Distal Intergenic	160997	LOC100506393	100506393
7	SP101526	chr17	50809490	50813714	17q	4225	10	1	2	Distal Intergenic	-249166	C17orf112	100506650
8	SP101526	chr17	50876161	50877277	17q	1117	7	1	2	Distal Intergenic	-185603	C17orf112	100506650
9	SP101526	chr19	33469776	33471587	19q	1812	8	1	2	3' UTR	6628	FAAP24	91442
10	SP101526	chr19	37302105	37302443	19q	339	7	1	2	"Intron (uc002oev.2/284408, intron 2 of 3)"	13653	ZNF790-AS1	284408
1	SP101528	chr12	33932450	33934053	12p	1604	6	1	1	Distal Intergenic	-241163	ALG10	84920
1	SP101536	chr5	468806	470282	5p	1477	6	1	1	Promoter (2-3kb)	2798	PP7080	25845
