	sample	chrom	start	end	chrom.arm	length	number.mut	weight.C>X	confidence	annotation	distanceToTSS	geneName	geneID
1	RJOCCC1	chr3	197843759	197845122	3q	1364	8	0.875	1	Distal Intergenic	-34115	FAM157A	728262
2	RJOCCC1	chr9	30689314	30689601	9p	288	6	0.833	1	Distal Intergenic	-280862	LINC01242	401497
1	RJOCCC2	chr10	42648950	42650229	10q	1280	7	0.857	2	Distal Intergenic	213264	LOC441666	441666
2	RJOCCC2	chr10	63638365	63639484	10q	1120	6	0.833	2	Distal Intergenic	-21529	ARID5B	84159
3	RJOCCC2	chr12	37898554	37898897	12q	344	6	0.333	0	Distal Intergenic	-811660	ALG10B	144245
4	RJOCCC2	chr16	35002651	35002699	16p	49	6	0.5	0	Distal Intergenic	21728	FLJ26245	400533
5	RJOCCC2	chr20	25873388	25873490	20p	103	6	0.333	0	Distal Intergenic	-24602	FAM182B	728882
1	RJOCCC4-3	chr11	100352268	100352404	11q	137	7	0.857	1	Distal Intergenic	-206003	ARHGAP42	143872
1	RJOCCC4-4	chr1	143401362	143401501	1q	140	6	0.667	0	Distal Intergenic	-285629	NA	100130000
2	RJOCCC4-4	chr6	157733152	157735002	6q	1851	7	0.429	0	"Intron (uc003sih.4/729515, intron 1 of 3)"	10251	TMEM242	729515
3	RJOCCC4-4	chr7	61664297	61664468	7q	172	6	0.833	1	Distal Intergenic	1099966	ZNF733P	643955
4	RJOCCC4-4	chr7	76196475	76196573	7q	99	6	0.667	0	"Intron (uc003ufs.2/100133091, intron 2 of 2)"	17817	LOC100133091	100133091
5	RJOCCC4-4	chr9	69027573	69027881	9q	309	7	0.714	0	Distal Intergenic	119973	PGM5P2	595135
6	RJOCCC4-4	chr9	70669234	70669610	9q	377	6	0.167	0	Distal Intergenic	-169171	CBWD3	445571
1	RJOCCC5-1	chr3	140708314	140708415	3q	102	6	1	1	Distal Intergenic	47652	SLC25A36	55186
2	RJOCCC5-1	chr20	26086752	26087075	20p	324	6	0.333	0	"Intron (uc002wvj.5/149934, intron 1 of 1)"	7602	NCOR1P1	149934
1	RJOCCC5-4	chr15	79022329	79022437	15q	109	6	0.667	0	Distal Intergenic	-21942	LOC646938	646938
1	RJOCCC6-1	chr2	122044583	122045496	2q	914	9	1	3	Promoter (1-2kb)	-1805	TFCP2L1	29842
2	RJOCCC6-1	chr2	133378299	133379509	2q	1211	6	1	3	"Intron (uc002ttl.3/2863, intron 1 of 1)"	48271	LYPD1	116372
3	RJOCCC6-1	chr2	153169040	153170737	2q	1698	7	1	3	Distal Intergenic	-21014	FMNL2	114793
4	RJOCCC6-1	chr2	156214557	156216213	2q	1657	13	1	3	Distal Intergenic	659464	KCNJ3	3760
5	RJOCCC6-1	chr2	160163362	160165605	2q	2244	7	0.857	3	Distal Intergenic	-20126	WDSUB1	151525
6	RJOCCC6-1	chr2	161113355	161113926	2q	572	6	1	3	"Intron (uc010fow.1/3694, intron 9 of 9)"	14473	ITGB6	3694
7	RJOCCC6-1	chr2	161192770	161194095	2q	1326	6	0.833	3	"Intron (uc002ubi.4/5937, intron 13 of 14)"	-64371	ITGB6	3694
8	RJOCCC6-1	chr2	161197871	161198629	2q	759	6	1	3	"Intron (uc002ubi.4/5937, intron 13 of 14)"	65764	MIR4785	100616364
9	RJOCCC6-1	chr2	166402801	166403171	2q	371	9	0.889	3	"Intron (uc002udf.3/80034, intron 3 of 6)"	-25675	CSRNP3	80034
10	RJOCCC6-1	chr2	186649889	186650388	2q	500	8	1	3	Promoter (2-3kb)	-2982	FSIP2	401024
11	RJOCCC6-1	chr4	49182251	49182506	4p	256	7	0.571	0	Distal Intergenic	193592	CWH43	80157
12	RJOCCC6-1	chr9	44066373	44066483	9p	111	7	0.714	0	Distal Intergenic	160769	CNTNAP3B	728577
13	RJOCCC6-1	chr9	66713710	66713834	9q	125	7	0.286	0	Distal Intergenic	217240	PTGER4P2-CDK2AP2P2	442421
14	RJOCCC6-1	chr18	15267273	15267642	18p	370	8	1	1	Distal Intergenic	58276	LOC644669	644669
15	RJOCCC6-1	chr18	15382728	15383141	18p	414	6	0.333	0	Distal Intergenic	-56810	LOC644669	644669
16	RJOCCC6-1	chr19	23192668	23194253	19p	1586	11	1	1	Distal Intergenic	-6658	ZNF728	388523
1	RJOCCC6-2	chr2	122044583	122045496	2q	914	9	1	3	Promoter (1-2kb)	-1805	TFCP2L1	29842
2	RJOCCC6-2	chr2	133378299	133379509	2q	1211	6	1	3	"Intron (uc002ttl.3/2863, intron 1 of 1)"	48271	LYPD1	116372
3	RJOCCC6-2	chr2	153169159	153170737	2q	1579	6	1	3	Distal Intergenic	-21014	FMNL2	114793
4	RJOCCC6-2	chr2	156214557	156216083	2q	1527	11	1	3	Distal Intergenic	659464	KCNJ3	3760
5	RJOCCC6-2	chr2	161113046	161113926	2q	881	6	1	3	"Intron (uc010fow.1/3694, intron 9 of 9)"	14473	ITGB6	3694
6	RJOCCC6-2	chr2	161192770	161194095	2q	1326	6	0.833	3	"Intron (uc002ubi.4/5937, intron 13 of 14)"	-64371	ITGB6	3694
7	RJOCCC6-2	chr2	161197871	161198629	2q	759	6	1	3	"Intron (uc002ubi.4/5937, intron 13 of 14)"	65764	MIR4785	100616364
8	RJOCCC6-2	chr2	166402801	166403171	2q	371	9	0.889	3	"Intron (uc002udf.3/80034, intron 3 of 6)"	-25675	CSRNP3	80034
9	RJOCCC6-2	chr2	186649889	186651538	2q	1650	10	1	3	Promoter (1-2kb)	-1832	FSIP2	401024
10	RJOCCC6-2	chr19	23192668	23194253	19p	1586	11	1	1	Distal Intergenic	-6658	ZNF728	388523
1	RJOCCC6-3	chr2	122044583	122045496	2q	914	9	1	3	Promoter (1-2kb)	-1805	TFCP2L1	29842
2	RJOCCC6-3	chr2	133378299	133379509	2q	1211	6	1	3	"Intron (uc002ttl.3/2863, intron 1 of 1)"	48271	LYPD1	116372
3	RJOCCC6-3	chr2	153169040	153170737	2q	1698	7	1	3	Distal Intergenic	-21014	FMNL2	114793
4	RJOCCC6-3	chr2	156214557	156216213	2q	1657	13	1	3	Distal Intergenic	659464	KCNJ3	3760
5	RJOCCC6-3	chr2	161113046	161113926	2q	881	7	1	3	"Intron (uc010fow.1/3694, intron 9 of 9)"	14473	ITGB6	3694
6	RJOCCC6-3	chr2	161197871	161198629	2q	759	6	1	3	"Intron (uc002ubi.4/5937, intron 13 of 14)"	65764	MIR4785	100616364
7	RJOCCC6-3	chr2	166402732	166403171	2q	440	10	0.9	3	"Intron (uc002udf.3/80034, intron 3 of 6)"	-25675	CSRNP3	80034
8	RJOCCC6-3	chr2	186649889	186650760	2q	872	9	1	3	Promoter (2-3kb)	-2610	FSIP2	401024
9	RJOCCC6-3	chr19	23192668	23194253	19p	1586	7	1	1	Distal Intergenic	-6658	ZNF728	388523
1	RJOCCC6-4	chr2	122044583	122045496	2q	914	8	1	3	Promoter (1-2kb)	-1805	TFCP2L1	29842
2	RJOCCC6-4	chr2	133378299	133379509	2q	1211	6	1	3	"Intron (uc002ttl.3/2863, intron 1 of 1)"	48271	LYPD1	116372
3	RJOCCC6-4	chr2	156214701	156215834	2q	1134	8	1	3	Distal Intergenic	659608	KCNJ3	3760
4	RJOCCC6-4	chr2	160163362	160165605	2q	2244	7	0.857	3	Distal Intergenic	-20126	WDSUB1	151525
5	RJOCCC6-4	chr2	161113046	161113926	2q	881	7	1	3	"Intron (uc010fow.1/3694, intron 9 of 9)"	14473	ITGB6	3694
6	RJOCCC6-4	chr2	161197871	161198629	2q	759	6	1	3	"Intron (uc002ubi.4/5937, intron 13 of 14)"	65764	MIR4785	100616364
7	RJOCCC6-4	chr2	166402942	166403171	2q	230	6	0.833	3	"Intron (uc002udf.3/80034, intron 3 of 6)"	-25675	CSRNP3	80034
8	RJOCCC6-4	chr2	186649889	186650388	2q	500	8	1	3	Promoter (2-3kb)	-2982	FSIP2	401024
9	RJOCCC6-4	chr8	93397876	93397957	8q	82	6	0.333	0	Distal Intergenic	-282422	RUNX1T1	862
10	RJOCCC6-4	chr19	23193018	23194253	19p	1236	9	1	1	Distal Intergenic	-7008	ZNF728	388523
